tconst,primaryTitle,isAdult,episode_count,averageRating,numVotes
tt0046618,The Lineup,0,200,8.1,124
tt0046621,The Mask,0,15,7.3,27
tt0046622,Mayor of the Town,0,39,9,27
tt0046623,Medic,0,59,8.1,188
tt0046624,Meet Corliss Archer,0,39,7.5,75
tt0046625,The Mickey Rooney Show,0,34,7.4,88
tt0046628,Mr. District Attorney,0,79,7.5,32
tt0046629,The New Adventures of China Smith,0,28,7.1,35
tt0046634,Passport to Danger,0,36,7.3,55
tt0046635,People Are Funny,0,23,6.9,51
tt0046636,The Pinky Lee Show,0,14,7.3,46
tt0046637,Producers' Showcase,0,38,7.2,189
tt0046638,Public Defender,0,70,7.5,114
tt0046639,"Rocky Jones, Space Ranger",0,39,5.7,244
tt0046641,The Secret Storm,0,5229,5.3,277
tt0046642,Sherlock Holmes,0,39,7.5,1142
tt0046643,Shower of Stars,0,32,7.4,83
tt0046645,Stage 7,0,28,7,43
tt0046647,Stories of the Century,0,39,7.1,208
tt0046648,Studio 57,0,138,7.5,245
tt0046652,The Tonight Show,0,597,7.9,229
tt0046658,Victory at Sea,0,26,8.5,709
tt0046659,The Vise,0,221,7.1,77
tt0046660,Waterfront,0,78,7.7,118
tt0047701,"The $64, 000 Question",0,7,6.5,80
tt0047702,The 20th Century-Fox Hour,0,37,7.2,239
tt0047703,The Adventures of Champion,0,26,7.3,181
tt0047704,Adventures of the Falcon,0,40,7.5,40
tt0047705,The Adventures of Long John Silver,0,26,7.1,187
tt0047706,The Adventures of Robin Hood,0,144,7.6,906
tt0047707,The Alcoa Hour,0,52,7.3,100
tt0047708,Alfred Hitchcock Presents,0,268,8.5,19603
tt0047712,Andy's Gang,0,8,8.2,148
tt0047713,Appointment with Adventure,0,53,6.8,44
tt0047714,The Linkletter Show,0,1040,6.9,203
tt0047716,Brave Eagle,0,26,8,83
tt0047717,Captain Gallant of the Foreign Legion,0,65,7.1,118
tt0047718,Captain Kangaroo,0,1338,8,1609
tt0047719,Casablanca,0,10,6.3,86
tt0047720,Cheyenne,0,107,8,2086
tt0047723,The Count of Monte Cristo,0,39,7.5,66
tt0047724,Crossroads,0,78,7.6,94
tt0047726,Crusader,0,53,7.7,46
tt0047727,Damon Runyon Theater,0,40,7.9,48
tt0047728,Dixon of Dock Green,0,432,6.9,348
tt0047730,The Eddie Cantor Comedy Theater,0,38,7.7,43
tt0047731,Ford Star Jubilee,0,12,7.1,90
tt0047732,Front Row Center,0,27,7.7,34
tt0047733,Frontier,0,31,7.3,62
tt0047734,Fury,0,116,7.3,586
tt0047735,The Great Gildersleeve,0,40,7,71
tt0047736,Gunsmoke,0,635,8.1,9039
tt0047738,The Star and the Story,0,39,7,64
tt0047739,Highway Patrol,0,156,7.7,1595
tt0047745,Jane Wyman Presents the Fireside Theatre,0,96,7.5,71
tt0047746,The Johnny Carson Show,0,40,8.3,164
tt0047747,Jungle Jim,0,26,7.4,241
tt0047748,Kings Row,0,7,8,38
tt0047749,The Lawrence Welk Show,0,1171,6.9,528
tt0047750,The Life and Legend of Wyatt Earp,0,226,7.6,1167
tt0047751,The Lone Wolf,0,39,7.7,129
tt0047752,The Bob Cummings Show,0,166,7.7,489
tt0047753,MGM Parade,0,34,6.5,113
tt0047756,Matinee Theatre,0,576,6.8,140
tt0047757,The Mickey Mouse Club,0,331,7.6,880
tt0047758,The Millionaire,0,207,7.8,616
tt0047762,The People's Choice,0,104,7.9,191
tt0047763,The Phil Silvers Show,0,143,8.4,1772
tt0047764,Playwrights '56,0,20,6.7,51
tt0047767,Science Fiction Theatre,0,78,8.1,450
tt0047768,Screen Directors Playhouse,0,35,7.1,195
tt0047771,Sheena: Queen of the Jungle,0,26,6.1,141
tt0047772,So This Is Hollywood,0,24,7.8,26
tt0047773,Soldiers of Fortune,0,52,7.7,97
tt0047775,The Adventures of Spin and Marty,0,26,8,364
tt0047777,"Steve Donovan, Western Marshal",0,39,6.3,25
tt0047780,TV Reader's Digest,0,65,7.1,63
tt0047781,Tales of the Texas Rangers,0,52,8.2,118
tt0047786,Warner Brothers Presents,0,15,7.6,46
tt0048838,The Adventures of Dr. Fu Manchu,0,13,6.3,129
tt0048839,The Adventures of Hiram Holliday,0,26,8.1,76
tt0048840,The Adventures of Jim Bowie,0,76,6.8,286
tt0048841,The Adventures of Sir Lancelot,0,30,7,191
tt0048842,Air Power,0,26,7.7,43
tt0048845,As the World Turns,0,13340,6.2,2323
tt0048848,Broken Arrow,0,72,7.5,273
tt0048850,The Buccaneers,0,39,7.2,193
tt0048855,Circus Boy,0,49,7.3,272
tt0048857,Who Do You Trust?,0,9,7.2,31
tt0048858,Dr. Christian,0,40,8.2,54
tt0048859,Dr. Hudson's Secret Journal,0,67,7.4,29
tt0048860,The Edge of Night,0,7318,7.8,482
tt0048862,The Gabby Hayes Show,0,14,6.9,34
tt0048863,The Gale Storm Show: Oh! Susanna,0,127,7.9,234
tt0048864,General Electric Summer Originals,0,10,7.6,31
tt0048865,The Gerald McBoing-Boing Show,0,26,6.9,48
tt0048868,"Hey, Jeannie!",0,32,7.7,60
tt0048872,I Spy,0,39,7.5,31
tt0048875,The James Mason Show,0,3,7.5,43
tt0048879,Judge Roy Bean,0,39,7.2,114
tt0048880,The Kaiser Aluminum Hour,0,25,7.7,64
tt0048882,Lilli Palmer Theatre,0,35,9,25
tt0048885,The Man Called X,0,39,6.7,38
tt0048887,My Friend Flicka,0,39,7.3,192
tt0048890,Noah's Ark,0,24,6.8,25
tt0048892,The Joseph Cotten Show: On Trial,0,41,7,168
tt0048893,Playhouse 90,0,134,8.3,436
tt0048894,The Price Is Right,0,231,7.2,278
tt0048895,Queen for a Day,0,37,5.3,117
tt0048898,Stanley,0,19,4.4,79
tt0048899,The Steve Allen Plymouth Show,0,165,8.5,261
tt0048901,Tales of the 77th Bengal Lancers,0,26,7.8,48
tt0048903,Telephone Time,0,81,7.1,253
tt0048904,The Tennessee Ernie Ford Show,0,188,7.8,71
tt0048907,To Tell the Truth,0,2028,7.7,536
tt0048909,Twenty-One,0,8,7,48
tt0048913,West Point,0,39,7.2,133
tt0048914,Wire Service,0,39,7.5,43
tt0048916,Zane Grey Theatre,0,146,7.5,608
tt0049991,26 Men,0,78,7.4,132
tt0049992,Alcoa Theatre,0,65,7.4,94
tt0049993,American Bandstand,0,1673,7.5,410
tt0049995,Assignment Foreign Legion,0,26,7.5,33
tt0049996,Bachelor Father,0,157,7.2,598
tt0049999,Blondie,0,26,6.9,136
tt0050000,Boots and Saddles,0,39,7.2,65
tt0050002,The Californians,0,69,6.6,145
tt0050005,Code 3,0,40,7.3,99
tt0050006,Colt .45,0,67,7.3,154
tt0050007,The Court of Last Resort,0,26,7.3,54
tt0050009,Date with the Angels,0,33,7,159
tt0050010,Decoy,0,39,7.7,343
tt0050012,The Dinah Shore Show,0,60,6.8,70
tt0050013,The DuPont Show of the Month,0,34,7.1,107
tt0050015,The Errol Flynn Theatre,0,26,7.2,44
tt0050016,The Eve Arden Show,0,26,7.7,61
tt0050017,The Frank Sinatra Show,0,33,7.6,92
tt0050018,Further Adventures of Spin and Marty,0,23,8.3,112
tt0050020,The George Sanders Mystery Theater,0,13,9,29
tt0050021,The Gray Ghost,0,39,8.5,106
tt0050022,The Gumby Show,0,125,7,1604
tt0050023,Harbor Command,0,39,7.7,60
tt0050024,Harbourmaster,0,27,7.7,39
tt0050025,Have Gun - Will Travel,0,225,8.4,3448
tt0050026,Hawkeye and the Last of the Mohicans,0,39,7.3,280
tt0050030,The Tonight Show Starring Jack Paar,0,1159,8.4,329
tt0050032,Leave It to Beaver,0,236,7.6,9618
tt0050033,The Lucy-Desi Comedy Hour,0,13,8.3,1291
tt0050034,Lux Playhouse,0,19,8,63
tt0050035,M Squad,0,117,8.1,409
tt0050037,Maverick,0,124,8,3717
tt0050038,The Adventures of McGraw,0,42,7.4,57
tt0050039,Mike Hammer,0,78,8,313
tt0050042,Mr. Adams and Eve,0,66,8,68
tt0050043,The New Adventures of Charlie Chan,0,39,7.7,142
tt0050045,The O. Henry Playhouse,0,39,6.2,52
tt0050046,O.S.S.,0,26,7.4,34
tt0050047,Official Detective,0,40,8.4,29
tt0050049,Panic!,0,31,8.3,63
tt0050050,The Pat Boone-Chevy Showroom,0,68,7.7,30
tt0050051,Perry Mason,0,271,8.3,12280
tt0050053,The Real McCoys,0,225,7.6,1329
tt0050054,Rendezvous,0,41,7.2,35
tt0050055,The Restless Gun,0,78,7.5,308
tt0050056,"Richard Diamond, Private Detective",0,78,7.8,289
tt0050057,The Ruff & Reddy Show,0,157,6.7,241
tt0050058,Sailor of Fortune,0,26,6.9,36
tt0050061,The Silent Service,0,79,8.5,165
tt0050062,State Trooper,0,105,7.8,123
tt0050063,Sugarfoot,0,69,7.4,468
tt0050064,Suspicion,0,42,8.2,533
tt0050065,Sword of Freedom,0,39,7.7,41
tt0050066,Tales of Wells Fargo,0,201,7.9,1314
tt0050067,The Thin Man,0,72,7.1,283
tt0050068,Tic Tac Dough,0,9,6.9,27
tt0050069,Tombstone Territory,0,91,7.9,577
tt0050070,America After Dark,0,25,2.5,127
tt0050071,Trackdown,0,71,7.9,341
tt0050072,The Twentieth Century,0,222,8.2,88
tt0050073,Wagon Train,0,284,7.5,3872
tt0050074,The Walter Winchell File,0,42,7.3,45
tt0050077,Whirlybirds,0,111,7.8,383
tt0050079,Zorro,0,82,8.2,4339
tt0051180,War in the Air,0,15,8.3,27
tt0051247,77 Sunset Strip,0,206,7.7,1680
tt0051249,The Adventures of Tugboat Annie,0,40,7.9,152
tt0051251,The Ann Sothern Show,0,93,7.8,193
tt0051253,Behind Closed Doors,0,26,7.7,36
tt0051254,The Betty White Show,0,13,7,31
tt0051257,Blue Peter,0,2891,6.5,629
tt0051261,Bronco,0,68,7.2,406
tt0051262,Buckskin,0,39,7.9,51
tt0051263,Casey Jones,0,32,7.5,240
tt0051265,A Christmas Night with the Stars,0,13,6,41
tt0051266,Cimarron City,0,26,7.5,186
tt0051267,The Donna Reed Show,0,275,7.4,1945
tt0051273,Frontier Doctor,0,39,8.2,115
tt0051274,Frontier Justice,0,32,8.1,29
tt0051275,The Further Adventures of Ellery Queen,0,32,7.7,39
tt0051276,The Garry Moore Show,0,228,6.9,146
tt0051277,The George Burns Show,0,25,7.9,85
tt0051282,How to Marry a Millionaire,0,52,8,105
tt0051283,The Huckleberry Hound Show,0,70,6.6,3995
tt0051285,The Invisible Man,0,27,7,458
tt0051286,Ivanhoe,0,39,7.1,381
tt0051287,Jefferson Drum,0,26,7.5,31
tt0051290,Lawman,0,156,8.1,1013
tt0051292,Mackenzie's Raiders,0,39,7.5,113
tt0051293,Man with a Camera,0,29,7.3,311
tt0051295,The Milton Berle Show,0,25,7.8,45
tt0051297,Naked City,0,138,8.2,1469
tt0051298,The New Adventures of Spin and Marty,0,29,8.2,96
tt0051299,Northwest Passage,0,26,6.9,124
tt0051301,Peter Gunn,0,114,8,1733
tt0051304,Pursuit,0,12,7.8,50
tt0051307,Rescue 8,0,74,8,132
tt0051308,The Rifleman,0,168,8.3,5220
tt0051309,The Rough Riders,0,39,8,85
tt0051310,The Adventures of the Scarlet Pimpernel,0,18,7,85
tt0051311,Sea Hunt,0,155,7.7,1453
tt0051312,Shirley Temple's Storybook,0,41,7.3,239
tt0051317,Steve Canyon,0,34,7.1,204
tt0051319,Target,0,41,7.3,39
tt0051320,The Texan,0,79,7.6,373
tt0051321,This Is Alice,0,39,7.9,31
tt0051324,U.S. Marshal,0,70,7.5,109
tt0051325,Union Pacific,0,38,8.2,67
tt0051327,Wanted: Dead or Alive,0,94,8,2867
tt0051328,Westinghouse Desilu Playhouse,0,42,8,150
tt0051329,Yancy Derringer,0,34,7.8,479
tt0051330,Young Dr. Malone,0,82,7.5,31
tt0052439,21 Beacon Street,0,13,8.3,41
tt0052440,Adventures in Paradise,0,91,8.2,415
tt0052441,The Alaskans,0,36,8.4,98
tt0052442,One Step Beyond,0,97,7.8,1917
tt0052445,Bat Masterson,0,108,7.3,1267
tt0052447,The Bell Telephone Hour,0,129,7.8,51
tt0052448,The Betty Hutton Show,0,30,6.6,57
tt0052449,Black Saddle,0,44,7.9,120
tt0052450,Bold Venture,0,45,8.4,27
tt0052451,Bonanza,0,430,7.3,11365
tt0052452,Border Patrol,0,39,7.3,32
tt0052453,Bourbon Street Beat,0,39,7.8,196
tt0052454,Brenner,0,27,7.1,56
tt0052455,Coronado 9,0,39,7.8,89
tt0052456,The Chevy Show,0,10,7.5,25
tt0052458,The David Niven Show,0,13,8.1,47
tt0052459,Deadline,0,39,7.6,45
tt0052460,The Dennis O'Keefe Show,0,32,7.4,40
tt0052461,Dennis the Menace,0,146,7,2628
tt0052462,The Deputy,0,76,6.9,431
tt0052463,The Detectives,0,97,7.5,244
tt0052464,The DuPont Show with June Allyson,0,57,7.5,246
tt0052465,Fibber McGee and Molly,0,26,7.6,43
tt0052466,Five Fingers,0,16,8.2,66
tt0052467,The Flying Doctor,0,40,7.7,36
tt0052468,The Four Just Men,0,39,7.1,167
tt0052470,Glencannon,0,39,8.3,30
tt0052472,Hawaiian Eye,0,134,7.6,708
tt0052473,Hennesey,0,96,8,245
tt0052474,Hotel de Paree,0,32,8.2,54
tt0052475,Interpol Calling,0,39,7.3,128
tt0052478,Johnny Ringo,0,38,7,181
tt0052479,Johnny Staccato,0,27,7.9,280
tt0052481,Laramie,0,124,7.7,1527
tt0052483,Law of the Plainsman,0,30,8.1,110
tt0052484,The Lawless Years,0,47,7.4,117
tt0052485,Lock Up,0,78,7.7,109
tt0052487,The Man from Blackhawk,0,37,6.9,34
tt0052488,Manhunt,0,78,7.5,52
tt0052490,The Many Loves of Dobie Gillis,0,148,7.7,2125
tt0052491,Markham,0,59,8.3,91
tt0052492,Matty's Funnies with Beany and Cecil,0,26,7.4,129
tt0052493,Men Into Space,0,38,7.8,222
tt0052494,Mr. Lucky,0,34,7.6,381
tt0052497,Not for Hire,0,39,8.1,32
tt0052500,Peck's Bad Girl,0,14,7.3,29
tt0052501,Philip Marlowe,0,26,7.3,71
tt0052503,Playboy's Penthouse,0,12,7.4,51
tt0052504,Rawhide,0,217,7.9,4747
tt0052505,The Rebel,0,76,7.8,687
tt0052506,Riverboat,0,44,7.4,231
tt0052507,The Bullwinkle Show,0,163,7.8,4737
tt0052508,Shotgun Slade,0,78,6.8,131
tt0052511,Startime,0,33,6.5,232
tt0052512,Sunday Showcase,0,36,4.4,164
tt0052514,Take a Good Look,0,49,7.2,29
tt0052515,The Third Man,0,77,7.7,222
tt0052516,This Man Dawson,0,39,8,33
tt0052517,Tightrope,0,37,8.2,160
tt0052519,Troubleshooters,0,26,7.9,44
tt0052520,The Twilight Zone,0,156,9,95891
tt0052522,The Untouchables,0,119,8,3159
tt0052523,The Vital Spark,0,21,8.2,80
tt0052525,Wichita Town,0,26,7.4,57
tt0053479,The Andy Griffith Show,0,249,8.4,17486
tt0053480,Angel,0,33,7.4,55
tt0053481,The Aquanauts,0,32,7.5,105
tt0053482,Assignment: Underwater,0,39,7.2,44
tt0053483,The Barbara Stanwyck Show,0,37,7.4,232
tt0053485,The Blue Angels,0,39,7.3,44
tt0053486,Bootsie and Snudge,0,104,7.2,49
tt0053487,Bringing Up Buddy,0,36,7.8,39
